Vehicle ID; Next Stop ID; Updated At; Scheduled Arrival; Predicted Arrival
39424625;11771;2019-01-09T09:38:02-05:00;2019-01-09T09:34:00-05:00;2019-01-09T09:38:08-05:00
39424626;12759;2019-01-09T09:38:07-05:00;2019-01-09T09:38:00-05:00;2019-01-09T09:38:30-05:00
39424624;1780;2019-01-09T09:37:33-05:00;2019-01-09T09:31:00-05:00;2019-01-09T09:38:48-05:00
39424610;21773;2019-01-09T09:37:47-05:00;2019-01-09T09:37:00-05:00;2019-01-09T09:38:51-05:00
39424625;11771;2019-01-09T09:39:09-05:00;2019-01-09T09:34:00-05:00;2019-01-09T09:38:14-05:00
39424610;21773;2019-01-09T09:39:03-05:00;2019-01-09T09:37:00-05:00;2019-01-09T09:39:46-05:00
39424610;21773;2019-01-09T09:40:12-05:00;2019-01-09T09:37:00-05:00;2019-01-09T09:40:37-05:00
39424625;22173;2019-01-09T09:40:59-05:00;2019-01-09T09:37:00-05:00;2019-01-09T09:41:50-05:00
39424624;31317;2019-01-09T09:40:06-05:00;2019-01-09T09:33:00-05:00;2019-01-09T09:40:32-05:00
39424610;21773;2019-01-09T09:41:04-05:00;2019-01-09T09:37:00-05:00;2019-01-09T09:41:24-05:00
39424626;2612;2019-01-09T09:42:16-05:00;2019-01-09T09:41:00-05:00;2019-01-09T09:42:12-05:00
39424625;22173;2019-01-09T09:42:04-05:00;2019-01-09T09:37:00-05:00;null
39424610;21773;2019-01-09T09:42:15-05:00;2019-01-09T09:37:00-05:00;2019-01-09T09:41:41-05:00
39424624;1784;2019-01-09T09:41:58-05:00;2019-01-09T09:36:00-05:00;2019-01-09T09:43:05-05:00
39424625;1773;2019-01-09T09:43:06-05:00;2019-01-09T09:40:00-05:00;2019-01-09T09:44:37-05:00
39424610;21773;2019-01-09T09:43:07-05:00;2019-01-09T09:37:00-05:00;null
39424625;1773;2019-01-09T09:44:02-05:00;2019-01-09T09:40:00-05:00;2019-01-09T09:44:40-05:00
39424624;1784;2019-01-09T09:42:58-05:00;2019-01-09T09:36:00-05:00;null
39424610;12231;2019-01-09T09:44:08-05:00;2019-01-09T09:42:00-05:00;2019-01-09T09:45:58-05:00
39424625;1773;2019-01-09T09:45:06-05:00;2019-01-09T09:40:00-05:00;2019-01-09T09:45:13-05:00
39424610;12231;2019-01-09T09:45:07-05:00;2019-01-09T09:42:00-05:00;2019-01-09T09:46:32-05:00
39424626;2514;2019-01-09T09:46:02-05:00;2019-01-09T09:45:00-05:00;2019-01-09T09:46:18-05:00
39424610;12231;2019-01-09T09:45:52-05:00;2019-01-09T09:42:00-05:00;2019-01-09T09:46:31-05:00
39424625;1775;2019-01-09T09:47:01-05:00;2019-01-09T09:43:00-05:00;2019-01-09T09:47:16-05:00
39424610;12231;2019-01-09T09:46:51-05:00;2019-01-09T09:42:00-05:00;null
39425389;17863;2019-01-09T09:47:22-05:00;2019-01-09T09:48:00-05:00;null
39424610;2521;2019-01-09T09:48:11-05:00;2019-01-09T09:44:00-05:00;2019-01-09T09:52:00-05:00
39424625;9434;2019-01-09T09:48:27-05:00;2019-01-09T09:44:00-05:00;null
39425389;17863;2019-01-09T09:48:40-05:00;2019-01-09T09:48:00-05:00;null
39424626;2518;2019-01-09T09:49:08-05:00;2019-01-09T09:50:00-05:00;2019-01-09T09:49:10-05:00
